unix_time,response_time
1527707155,2
,
1527707156,2
,
1527707157,2
,
1527707158,1
,
1527707159,1
,
1527707160,2
,
1527707161,2
,
1527707162,2
,
1527707163,2
,
1527707164,2
,
1527707165,2
,
1527707166,2
,
1527707167,2
,
1527707168,2
,
1527707169,2
,
1527707170,1
,
1527707171,2
,
1527707172,2
,
1527707173,2
,
1527707174,2
,
1527707175,2
,
1527707176,2
,
1527707177,2
,
1527707178,2
,
1527707179,2
,
1527707180,2
,
1527707181,2
,
1527707182,2
,
1527707183,1
,
1527707184,2
,
1527707185,2
,
1527707186,1
,
1527707187,2
,
1527707188,1
,
1527707189,2
,
1527707190,2
,
1527707191,2
,
1527707192,2
,
1527707193,2
,
1527707194,2
,
1527707195,2
,
1527707196,2
,
1527707197,1
,
1527707198,2
,
1527707199,2
,
1527707200,2
,
1527707201,2
,
1527707202,1
,
1527707203,2
,
1527707204,2
,
1527707205,2
,
1527707206,2
,
1527707207,2
,
1527707208,2
,
1527707209,1
,
1527707210,2
,
1527707211,1
,
1527707212,2
,
1527707213,2
,
1527707214,2
,
1527707215,1
,
1527707216,2
,
1527707217,2
,
1527707218,1
,
1527707219,1
,
1527707220,2
,
1527707221,1
,
1527707222,1
,
1527707223,1
,
1527707224,1
,
1527707225,1
,
1527707226,2
,
1527707227,1
,
1527707228,1
,
1527707229,2
,
1527707230,2
,
1527707231,2
,
1527707232,2
,
1527707233,1
,
1527707234,1
,
1527707235,2
,
1527707236,2
,
1527707237,2
,
1527707238,2
,
1527707239,1
,
1527707240,2
,
1527707241,2
,
1527707242,1
,
1527707243,1
,
1527707244,1
,
1527707245,1
,
1527707246,1
,
1527707247,1
,
1527707248,1
,
1527707249,1
,
1527707250,2
,
1527707251,2
,
1527707252,2
,
1527707253,2
,
1527707254,2
,
1527707255,2
,
1527707256,2
,
1527707257,1
,
1527707258,1
,
1527707259,1
,
1527707260,1
,
1527707261,2
,
1527707262,2
,
1527707263,1
,
1527707264,2
,
1527707265,2
,
1527707266,1
,
1527707267,1
,
1527707268,2
,
1527707269,2
,
1527707270,1
,
1527707271,1
,
1527707272,1
,
1527707273,2
,
1527707274,1
,
1527707275,2
,
1527707276,2
,
1527707277,2
,
1527707278,2
,
1527707279,2
,
1527707280,2
,
1527707281,1
,
1527707282,1
,
1527707283,1
,
1527707284,2
,
1527707285,1
,
1527707286,2
,
1527707287,2
,
1527707288,2
,
1527707289,1
,
1527707290,1
,
1527707291,1
,
1527707292,1
,
